563.6653, 7.66642
565.6653, 63.00007
557.3314, 43.66671
818.6667, 133.6667
817.6702, 133.3333
818.6667, 133.6667
818.6667, 133.6667
818.6667, 133.6667
818.6667, 133.6667
819.3358, 131.6666
819.8413, 134.818
1073.13, 290.0381
1160.597, 567.325
1160.071, 588.6686
1142.47, 566.6135
1160.258, 544.9635
1179.343, 566.9681
1159.607, 629.5764
1110.392, 566.9681
1159.668, 506.4942
1209.347, 568.3911
1149.276, 617.6842
1139.192, 605.5894
1127.993, 589.9374
1118.93, 578.554
1118.404, 555.0759
1127.529, 544.4041
1139.407, 529.4634
1148.782, 517.5712
1170.713, 517.5712
1180.548, 528.9545
1192.52, 546.0295
1200.933, 557.4129
1200.809, 578.7567
1192.456, 589.4285
1179.124, 607.215
1169.937, 618.5983
540.3587, 109.7143
