563.6653, 7.66642
565.6653, 63.00007
557.3314, 43.66671
818.6667, 133.6667
817.6702, 133.3333
818.6667, 133.6667
818.6667, 133.6667
818.6667, 133.6667
818.6667, 133.6667
819.3358, 131.6666
816.6691, 133.9999
1129.335, 575.3329
1122.002, 565.9995
1114.669, 556.6661
1107.337, 547.3327
1100.004, 537.9991
1107.669, 527.9988
1115.336, 517.9985
1123.336, 507.9984
1130.002, 497.9985
1137.668, 507.9988
1145.002, 517.9988
1152.001, 527.6656
1158.667, 537.9991
1152.001, 546.6658
1145.334, 555.9996
1145.334, 555.9996
1137.335, 565.3333
1130.002, 537.9991
1130.002, 552.6662
1116.669, 537.9991
1130.002, 521.3319
1142.668, 537.9991
1131.002, 603.9999
1078.67, 536.6658
1129.335, 469.3324
1179.667, 537.9991
510.9987, 80.66665
